Symbol,baseMean,log2FoldChange,lfcSE,pvalue,padj,DE
FAM169A,13.25360815,-5.390567574,1.280410245,0.000153517,0.001056162,TRUE
CIDEC,54.74272057,-2.379317956,0.2908845,6.10E-29,3.56E-26,TRUE
PPP2R2C,17.29783086,-2.212825468,0.734972869,8.81E-06,9.21E-05,TRUE
TXNIP,1104.14132,-1.573576212,0.194550691,7.01E-18,8.96E-16,TRUE
PTK2B,213.3388756,-1.539801368,0.177590772,5.75E-18,7.56E-16,TRUE
C3,547.0151552,-1.477451191,0.239583543,1.86E-11,8.54E-10,TRUE
ADH1B,292.1952531,-1.34842317,0.196548583,8.99E-18,1.12E-15,TRUE
LOC107986558,64.96244719,-1.331835129,0.252510922,2.69E-08,5.78E-07,TRUE
NEDD9,525.7521838,-1.266870524,0.193395949,1.19E-11,5.74E-10,TRUE
TMEM130,103.5901055,-1.265547218,0.260867403,2.71E-10,9.92E-09,TRUE
MALAT1,1773.331399,-1.234280023,0.479597933,3.94E-07,6.05E-06,TRUE
ABCA9,74.60839387,-1.231182013,0.301106538,2.03E-07,3.40E-06,TRUE
NFIL3,607.0734139,-1.22247755,0.147147486,1.04E-17,1.28E-15,TRUE
CARMIL1,296.9285039,-1.182953773,0.136582791,5.92E-22,1.58E-19,TRUE
APOD,570.9240876,-1.181620216,0.178035745,3.68E-18,5.12E-16,TRUE
IGFBP3,6222.143233,-1.174693038,0.130207689,7.61E-26,3.23E-23,TRUE
OLFML2A,157.9634752,-1.127984527,0.207599618,3.15E-11,1.37E-09,TRUE
GASK1B,135.7937304,-1.105387615,0.199550631,1.66E-13,1.14E-11,TRUE
LINC00475,33.23509738,-1.098308661,0.321636925,4.11E-05,0.000341095,TRUE
MARCHF4,107.3034617,-1.082125541,0.200658104,5.48E-11,2.26E-09,TRUE
SBSN,55.65457036,-1.081905984,0.454723521,4.56E-08,9.19E-07,TRUE
SVEP1,613.0816505,-1.064608922,0.135557273,9.52E-15,7.86E-13,TRUE
ANGPT1,540.3805818,-1.047889029,0.120481157,7.81E-19,1.21E-16,TRUE
FOXO1,127.1709268,-1.046802507,0.198247769,6.17E-09,1.59E-07,TRUE
INAFM2,369.3695164,-1.041560912,0.147026476,1.19E-13,8.89E-12,TRUE
SERPINB2,432.9971312,-1.036899673,0.275081714,1.99E-14,1.58E-12,TRUE
SUSD2,100.1284608,-0.976279996,0.291817402,5.64E-06,6.27E-05,FALSE
FAM43A,530.7517788,-0.971184957,0.113624338,5.80E-25,2.25E-22,FALSE
VDR,143.4024351,-0.954263362,0.187285686,7.34E-11,2.97E-09,FALSE
SERPING1,103.6715283,-0.954158787,0.251095252,3.43E-07,5.45E-06,FALSE
MFGE8,3489.006967,-0.953072553,0.126442397,5.33E-17,6.14E-15,FALSE
PROS1,530.9227816,-0.939578445,0.202577098,5.85E-08,1.14E-06,FALSE
CYP1B1,1176.623061,-0.920567573,0.20752843,3.60E-14,2.77E-12,FALSE
ADARB1,405.5162562,-0.905909941,0.148715358,8.06E-13,4.91E-11,FALSE
UBASH3B,183.1621946,-0.900586315,0.173276469,7.66E-16,7.58E-14,FALSE
CLK1,161.1457512,-0.894726603,0.135730849,1.14E-15,1.06E-13,FALSE
KDR,17.79085657,-0.892363755,0.494831285,1.87E-05,0.00017313,FALSE
FAM110B,121.2566647,-0.887764835,0.170697383,1.21E-09,3.82E-08,FALSE
AOX1,1646.112076,-0.88520322,0.20648753,3.36E-11,1.45E-09,FALSE
SECTM1,563.7780026,-0.882881494,0.124800311,1.52E-19,2.58E-17,FALSE
RPS6KA2,2141.474453,-0.874853467,0.079641098,8.93E-29,4.90E-26,FALSE
ENOX1,94.48153676,-0.870457181,0.196314122,9.42E-08,1.75E-06,FALSE
ZNF395,1431.753736,-0.863419802,0.108468558,1.78E-22,4.88E-20,FALSE
SOX13,63.55779681,-0.840930537,0.253813677,4.80E-08,9.56E-07,FALSE
HSPB7,4646.773767,-0.839728845,0.080149544,3.51E-48,8.18E-45,FALSE
KLF15,63.70439605,-0.83499021,0.267300419,9.03E-06,9.42E-05,FALSE
NKD1,66.85330342,-0.824539624,0.310413916,4.67E-08,9.39E-07,FALSE
DSP,1235.913877,-0.817041054,0.10053084,9.88E-20,1.84E-17,FALSE
GOPC,95.76879367,-0.816009979,0.311444012,9.59E-05,0.000701563,FALSE
ABCC3,182.7382655,-0.811259782,0.171512197,1.18E-09,3.75E-08,FALSE
CLU,101.049633,-0.789769827,0.205686286,1.06E-08,2.57E-07,FALSE
ACSM5,150.8325311,-0.762928931,0.231573947,4.23E-06,4.92E-05,FALSE
TMEM139-AS1,53.90952623,-0.761986656,0.275492314,6.42E-05,0.000494602,FALSE
PARD3B,263.9288887,-0.759218303,0.152365239,1.67E-08,3.86E-07,FALSE
ANKRD1,1185.848692,-0.757831648,0.167344656,1.54E-15,1.39E-13,FALSE
OSR1,330.4973949,-0.757821568,0.214300592,1.66E-05,0.000157278,FALSE
TXNRD2,99.1974086,-0.755291059,0.21155382,6.18E-06,6.76E-05,FALSE
LINC02709,43.86322098,-0.748936914,0.353897829,0.000384729,0.002281712,FALSE
ELL2,653.3389802,-0.74739575,0.123287702,1.81E-16,1.96E-14,FALSE
TEX2,260.9808662,-0.742594257,0.130814813,6.67E-15,5.76E-13,FALSE
CARD16,80.6711709,-0.742432425,0.225919589,3.77E-06,4.43E-05,FALSE
LCE2A,76.31843287,-0.742135887,0.344378154,2.78E-08,5.93E-07,FALSE
LHFPL6,831.4942229,-0.730301056,0.109289233,5.87E-12,3.06E-10,FALSE
TNFRSF11B,217.4400918,-0.725631287,0.241389815,1.36E-10,5.25E-09,FALSE
CRLF1,322.6217256,-0.72374327,0.132988851,9.27E-22,2.35E-19,FALSE
NALF1,156.0442493,-0.722789611,0.14030764,2.96E-09,8.32E-08,FALSE
SLC44A1,1200.270913,-0.71874283,0.099066904,1.65E-19,2.74E-17,FALSE
PRDM1,201.4873625,-0.716118872,0.170935968,2.93E-06,3.55E-05,FALSE
ZBTB16,106.8922771,-0.707980957,0.336305222,0.000428885,0.002485138,FALSE
ADM,5173.750431,-0.706558266,0.170814339,5.93E-08,1.16E-06,FALSE
EBF1,485.94695,-0.706485917,0.117039491,6.95E-10,2.29E-08,FALSE
PHACTR2,509.3374495,-0.702501502,0.164069607,1.07E-07,1.97E-06,FALSE
LIMCH1,618.110828,-0.697390976,0.098273639,7.91E-18,9.97E-16,FALSE
RIPOR2,147.516988,-0.684299856,0.196243058,1.85E-05,0.00017151,FALSE
STS,144.6490758,-0.681688823,0.191365425,4.29E-05,0.000352741,FALSE
FKBP5,1501.471351,-0.675248199,0.085855178,1.15E-19,2.11E-17,FALSE
SNAI2,1435.292553,-0.673092958,0.087004365,6.18E-24,1.95E-21,FALSE
EBF2,101.0388961,-0.673043778,0.213841683,1.42E-09,4.40E-08,FALSE
ERCC6,281.0081844,-0.669427189,0.144486934,2.09E-10,7.75E-09,FALSE
RBMS3,385.2240825,-0.663047692,0.146835147,6.58E-07,9.48E-06,FALSE
SCN3A,3862.862145,-0.662664936,0.106953803,9.33E-16,8.98E-14,FALSE
NAXD-AS1,27.43414467,-0.6611994,0.369227014,0.002296224,0.010298783,FALSE
ADD3,928.1202122,-0.661057575,0.080474503,5.88E-20,1.12E-17,FALSE
GDA,233.7304136,-0.659610737,0.169032177,8.54E-16,8.30E-14,FALSE
IL7R,88.50672885,-0.658065118,0.293747419,9.62E-09,2.36E-07,FALSE
PRKD1,253.3630359,-0.657198603,0.173987849,2.48E-09,7.15E-08,FALSE
ZFP36L1,1774.713875,-0.653677194,0.104556414,3.26E-10,1.15E-08,FALSE
FNBP1L,62.61548856,-0.652643618,0.241616969,0.000469483,0.00268535,FALSE
PTGES,302.9568477,-0.645682497,0.203762047,9.32E-06,9.64E-05,FALSE
LOC105377742,140.5916524,-0.645149501,0.217483465,0.000256767,0.001606561,FALSE
BST1,206.7268304,-0.637079316,0.189356293,0.000185553,0.001233803,FALSE
PBX1,665.8842347,-0.631782928,0.083830605,3.30E-17,3.85E-15,FALSE
HIPK2,1802.197937,-0.630918694,0.089418116,4.35E-18,5.88E-16,FALSE
GKAP1,17.9678545,-0.629604113,0.453310747,0.000419112,0.00244981,FALSE
OFD1,144.2716108,-0.624606558,0.151321445,4.94E-06,5.55E-05,FALSE
C5AR1,359.6787978,-0.62125015,0.176936289,1.87E-12,1.06E-10,FALSE
CD82,575.023409,-0.616981857,0.136296215,3.11E-07,4.99E-06,FALSE
SORT1,1275.419074,-0.614548166,0.094152372,5.15E-11,2.15E-09,FALSE
TTPAL,281.6843084,-0.613920678,0.118925923,3.13E-10,1.11E-08,FALSE
COL4A5,120.4859029,-0.612617623,0.142931168,1.05E-07,1.93E-06,FALSE
RHOBTB3,658.2972784,-0.611868987,0.108230158,5.18E-09,1.37E-07,FALSE
MAP9,101.6161957,-0.608243779,0.273297451,0.004789725,0.018680329,FALSE
TRPM3,143.5211332,-0.60208301,0.181857839,4.54E-05,0.000370307,FALSE
TIPARP,340.552469,-0.600253789,0.134799054,6.30E-10,2.10E-08,FALSE
HEATR6-DT,553.3404274,-0.597024039,0.102287576,3.42E-27,1.52E-24,FALSE
LOC105374007,20.79003132,-0.596851915,0.499151444,0.012410601,0.039555347,FALSE
TCEAL4,2874.494701,-0.595163108,0.087243824,7.19E-12,3.63E-10,FALSE
BTG2,198.0577411,-0.594819344,0.168163439,4.15E-05,0.000342767,FALSE
MME,262.1657075,-0.592348263,0.179139798,2.92E-08,6.23E-07,FALSE
ALPK2,131.8224846,-0.590374045,0.224197282,0.000119278,0.00085072,FALSE
FOXO3,430.6118498,-0.589644683,0.146142546,4.71E-07,7.11E-06,FALSE
EMILIN2,31.0116448,-0.588424685,0.334707361,0.003181274,0.013465566,FALSE
VGLL3,1911.631197,-0.582927179,0.119017098,6.34E-08,1.23E-06,FALSE
IRX3,919.2862067,-0.578320108,0.083014892,9.73E-15,7.96E-13,FALSE
SOD3,328.5630105,-0.576286672,0.118488562,3.17E-09,8.80E-08,FALSE
GLRX,2016.913728,-0.574429333,0.089316552,2.29E-31,1.53E-28,FALSE
SLC2A1,213.9020027,-0.574026857,0.179152592,2.22E-09,6.47E-08,FALSE
GYG2,85.12698598,-0.573817509,0.185808085,4.94E-05,0.00039916,FALSE
MAOA,39.39015708,-0.570019372,0.373631096,0.016907658,0.050363629,FALSE
PDCD4,242.1065044,-0.569342781,0.129914833,2.27E-06,2.85E-05,FALSE
NPR3,343.6191745,-0.561626082,0.123276072,9.61E-07,1.33E-05,FALSE
DOCK4,31.45653633,-0.5584842,0.307661127,0.001812486,0.008452054,FALSE
NRXN2,90.29376253,-0.557369668,0.212654376,6.31E-05,0.000487836,FALSE
DMD,204.2684564,-0.552560738,0.141882196,9.13E-07,1.26E-05,FALSE
CTSF,243.2565963,-0.549860652,0.126025981,1.53E-13,1.08E-11,FALSE
FIBIN,710.6206962,-0.548357277,0.109763087,9.03E-09,2.24E-07,FALSE
NNMT,4160.384966,-0.548131859,0.078209343,8.61E-68,8.03E-64,FALSE
PRR16,267.5320979,-0.547367741,0.129013403,2.65E-08,5.73E-07,FALSE
PCDH9,75.55144096,-0.545672192,0.225225879,4.32E-06,5.00E-05,FALSE
TRAPPC8,78.16910111,-0.542930726,0.209430504,0.000275765,0.001711649,FALSE
CXCL1,30.27621011,-0.541474492,0.358730866,0.003615905,0.01489306,FALSE
CPNE7,207.221252,-0.540470715,0.147827975,2.75E-07,4.47E-06,FALSE
PALM2AKAP2,2391.599348,-0.539036558,0.106939258,4.51E-08,9.11E-07,FALSE
CBX8,103.0987364,-0.538226559,0.189616391,0.000295789,0.001820192,FALSE
CREG1,234.0752194,-0.536697231,0.144288035,5.68E-07,8.37E-06,FALSE
AK4,170.1180105,-0.536148884,0.169886327,0.000114449,0.000822569,FALSE
RECK,489.0485613,-0.531015787,0.101327383,1.22E-12,6.92E-11,FALSE
NDRG1,2375.398075,-0.527798406,0.075258756,3.01E-28,1.41E-25,FALSE
SKP2,115.9854498,-0.525901889,0.200690649,5.46E-05,0.000432954,FALSE
NFIA,473.3182158,-0.524929243,0.122587655,3.87E-09,1.05E-07,FALSE
STC2,12338.81826,-0.52345373,0.069342909,6.27E-24,1.95E-21,FALSE
LOC124900778,32.97671827,-0.522597596,0.404495123,0.000173367,0.001166069,FALSE
IMPA2,68.7001114,-0.521101122,0.2457924,0.003194487,0.013509233,FALSE
SHC3,47.91514601,-0.520198935,0.277268808,0.001541677,0.007386906,FALSE
RGCC,187.3677666,-0.519878627,0.200829769,6.02E-05,0.000468909,FALSE
IKZF2,321.3880386,-0.518985488,0.134414363,5.74E-05,0.000450771,FALSE
RAB30,144.4000307,-0.518872893,0.160692489,4.36E-08,8.84E-07,FALSE
LAMC1,6685.174133,-0.516344167,0.07013213,2.33E-16,2.50E-14,FALSE
SIRPA,492.6806874,-0.514082514,0.118056479,4.80E-06,5.43E-05,FALSE
HSPB1,16138.34305,-0.51306366,0.061733442,9.33E-22,2.35E-19,FALSE
ZNF281,849.8448138,-0.511168647,0.123677427,6.30E-08,1.22E-06,FALSE
RALBP1,1016.377745,-0.509506471,0.112136767,6.17E-06,6.76E-05,FALSE
ARID5B,1237.783968,-0.509231509,0.110901231,2.41E-06,3.02E-05,FALSE
DUSP10,279.9570006,-0.507120926,0.122147484,7.44E-08,1.41E-06,FALSE
ELFN2,85.95701734,-0.506939951,0.220221386,7.84E-07,1.10E-05,FALSE
ZCCHC24,400.601178,-0.50516188,0.134071203,7.09E-05,0.000539834,FALSE
GREM2,432.6164375,-0.503909143,0.182970071,5.75E-13,3.58E-11,FALSE
GGT5,85.14579361,-0.503291529,0.276219358,0.000871354,0.004569344,FALSE
TXNRD1,2498.790975,-0.501291558,0.081661949,4.81E-10,1.67E-08,FALSE
BCL2L1,547.4936493,-0.501011122,0.082765607,6.83E-15,5.84E-13,FALSE
TOB2,841.591791,-0.49789834,0.08543384,7.33E-11,2.97E-09,FALSE
MAP2,277.0416363,-0.49705606,0.123124681,1.57E-11,7.24E-10,FALSE
FBLN5,1808.148686,-0.496794394,0.11373572,3.13E-09,8.75E-08,FALSE
SLC38A2,5092.63962,-0.495199189,0.053245728,5.39E-23,1.52E-20,FALSE
PPIG,657.9240615,-0.494929388,0.139732504,0.000235104,0.001491016,FALSE
RHOB,1157.200709,-0.49492146,0.09192206,1.19E-09,3.76E-08,FALSE
SCAPER,92.91169777,-0.493369962,0.170632223,0.000122844,0.000871488,FALSE
COL8A1,6049.290863,-0.492086631,0.076403473,1.60E-17,1.89E-15,FALSE
RUNX1T1,29.87150633,-0.489538374,0.411060622,0.000145212,0.001007201,FALSE
TNPO1-DT,39.18546977,-0.489217986,0.362593886,0.000149565,0.001032788,FALSE
SESN3,89.42851502,-0.488771228,0.214036084,9.08E-08,1.70E-06,FALSE
TANC2,177.9617287,-0.485007737,0.142304776,2.84E-05,0.000247049,FALSE
NEGR1,291.5381707,-0.484627588,0.129718471,1.41E-05,0.000137758,FALSE
ZMAT3,878.3720354,-0.484400985,0.090315153,3.89E-10,1.36E-08,FALSE
REV3L,681.8714836,-0.482907713,0.104222553,1.78E-09,5.33E-08,FALSE
NUDT3,448.8633444,-0.481442866,0.097988635,3.35E-07,5.35E-06,FALSE
TRIB2,299.3954861,-0.479522523,0.114830356,1.94E-07,3.28E-06,FALSE
DGAT2,30.98140551,-0.479370965,0.338431643,0.000320826,0.001953647,FALSE
SCD5,548.3904902,-0.478517643,0.088619866,5.21E-09,1.37E-07,FALSE
GALNT15,353.2432687,-0.478310915,0.22581064,3.21E-08,6.76E-07,FALSE
NLGN1,130.8103996,-0.476544724,0.187463142,0.007585603,0.026968783,FALSE
MDGA1,66.34549321,-0.475942013,0.219360303,9.70E-05,0.000707963,FALSE
RNF144B,130.9187182,-0.475869609,0.201499371,0.004368874,0.017305077,FALSE
NEXN,3722.05387,-0.475507187,0.121646105,5.78E-07,8.48E-06,FALSE
MCTP1,209.6608428,-0.474744196,0.210876026,0.003350981,0.014037405,FALSE
RASAL2,337.5766066,-0.474526749,0.106030194,4.11E-08,8.38E-07,FALSE
DHCR24,806.7158506,-0.474122251,0.131716245,1.05E-06,1.43E-05,FALSE
PDE3A,118.4912314,-0.473392531,0.157576486,0.000186737,0.001240792,FALSE
MYO1D,765.6545315,-0.47323723,0.084679786,5.99E-16,6.01E-14,FALSE
PLAG1,167.3798925,-0.472222667,0.135105768,2.47E-05,0.000218894,FALSE
TMEM132B,30.94495564,-0.470738491,0.364595966,0.010413302,0.034485515,FALSE
WEE1,196.0671773,-0.470705206,0.122013721,6.08E-07,8.89E-06,FALSE
IRS2,1717.726464,-0.47048918,0.12735766,7.71E-06,8.21E-05,FALSE
GLIS1,67.40682747,-0.469952429,0.218924442,0.000489565,0.00278655,FALSE
MOK,314.3397863,-0.46879629,0.110135449,1.50E-05,0.000145272,FALSE
CPM,620.4382832,-0.468257772,0.110031802,2.50E-05,0.000221366,FALSE
DHTKD1,179.9558665,-0.467604661,0.133550666,0.000257056,0.001607291,FALSE
ASS1,963.1253212,-0.467262453,0.141083434,4.83E-06,5.45E-05,FALSE
RBP4,41.87969388,-0.467012477,0.322221511,0.030450497,0.079217146,FALSE
TYW1B,51.58400947,-0.466863295,0.237372763,0.009522211,0.032220785,FALSE
SCFD2,195.2979081,-0.465504434,0.154568007,6.18E-07,9.00E-06,FALSE
