Symbol  Fold_change  Padj
ACP5	0.425	0.0002
ATP6V0A4	0.359	0.0002
MGP	0.197	0
SPARC	0.624	0.0106
RUNX2	0.559	0.0051
SOX9	0.57	0.0393
ECM1	0.615	0.0026
DDR2	0.515	0
EIF2AK3	0.546	0.0028
IFITM1	0.613	0.0007
COL5A2	0.486	0.009
NBR1	0.522	0.0012
S1PR1	0.345	0
GJA1	0.441	1.00E-05
INTU	0.68	0.0472
RBPJ	0.626	0
SFRP1	0.296	0.0085
TGFB3	0.473	0.0136
PTK2B	0.448	0.0335
TPP1	0.594	0.002
RAB3D	0.697	0.0227
ZNF675	0.616	0.0262
CTSK	0.687	0.001
IL7	0.665	0.0016
BMP4	0.539	3.00E-05
ZMPSTE24	0.627	0.0001
ACVR2A	0.383	0.0002
WNT5A	0.546	0.0016
BMPR1B	0.509	2.00E-05
TFRC	0.587	0.0041
PLA2G4A	0.62	0.002
