Symbol  Fold_change  Padj
CCL26	0.377	0.0229
SP100	0.733	0.015
POLB	0.724	0.0062
ITCH	0.574	0.0004
NFX1	0.6	0.0077
PARP4	0.463	0.0026
LTA4H	0.66	0.0127
PTGS1	0.482	0.0128
PTGES	0.381	0.0062
CDO1	0.518	1.00E-05
CH13L1	0.183	0
BMPR1B	0.509	2.00E-05
CD27	0.555	0.0027
ECM1	0.615	0.0026
IFI16	0.593	1.00E-05
AIMP1	0.734	0.0069
BDKRB2	0.315	0
NFRKB	0.617	0.0438
TLR6	0.481	0.0513
TBK1	0.649	1.00E-05
HYAL3	0.518	0.0053
HRH1	0.545	0.0015
CASP4	0.711	0.0002
ABCF1	0.682	0.032
CXCR6	0.017	0.006
IL10	0.1	0.0029
IL19	0.074	0.0064
IL24	0.204	6.00E-05
NUPR1	0.795	0.0271
TNFAIP6	0.217	2.00E-05
VCAM1	0.364	0.0309
GJA1	0.441	1.00E-05
