Symbol  Fold_change  Padj
TBXA2R	3.48	0.0007
MAP2K3	3.05	0.0002
RELT	4.27	0
GPR68	3.63	0.0003
PRKC3	11.7	0.003
HDAC4	2.82	0.0079
HDAC5	18.26	0
PTGER2	11.58	0
PTGFR	1.66	0.0002
PTGIR	11.47	0.0022
IKBKG	9.05	0
NFKB2	1.67	0.0531
IKBKB	4.28	0
RELB	7.46	0
REL	2.11	0.002
NFKBID	5.13	0.0017
RELA	6.58	0
TOLLIP	8.62	0
TNIP1	2.63	0
TNIP2	2.39	0.0006
TICAM1	29.95	0
TICAM2	68.43	2.00E-05
TNFAIP3	3.92	0
TNFRSF10B	2.42	0
TNFRSF1A	11.94	0.0003
TNFRSF14	4.3	0.0002
TNFRSF25	74.25	0
CXCL2	38.42	1.00E-05
CXCL6	5.4	0.0251
CXCL1	24.71	0
CXCL3	9.78	7.00E-05
GPER1	6.49	0.0005
PXK	2.53	0
TPST1	5.82	0.0007
CAMK4	2.49	0.0003
GGT5	5.9	0
RPS6KA4	4.51	0.0005
RPS6KA5	1.87	0.0017
PYCARD	24.88	0
RIPK2	8.86	0
GSDMD	9.49	0
NOD1	2.47	0.0051
LTBR	4.15	0.0006
LTB4R	14.35	0.004
SDC1	5.95	0.0009
THEMIS2	2.54	0.0173
C5AR2	3.44	0
PLAA	3.39	0
SEMA7A	1.93	0.0022
ITGB2	9.29	0
THBS1	1.78	0
PTX3	2.62	0.0046
IL34	6.14	0
IL17B	33.39	0.0002
IL15	2.18	0.0021
TGFB1	4.6	0
MYD88	3.11	0.0001
NRROS	3.22	0.0012
CHST2	2.72	2.00E-05
SPHK1	2.36	0.0145
HNRNPA0	4.76	3.00E-05
F2R	2.4	0.0081
RXRA	1.87	0.008
ZNF580	11.27	3.00E-05
S1PR3	2.15	0.0056
TUSC2	13.07	0
MGLL	1.66	0.0049
MIF	91.18	0
THBS1	1.78	0
