Ensembl_ID,GeneSymbol,Description,EntrezID,Biotype,Human_Ensembl_ID,Human_GeneSymbol,Human_Entrez_ID,Tibia_activity,Tibia_mean_FPKM,Femur_activity,Femur_mean_FPKM,Humerus_activity,Humerus_mean_FPKM,Active_tissue_number,InVitro_active_osteocytes,LaserCaptured_active_osteocytes,CollagenaseDigested_active_osteocytes,Female4_activity,Female4_mean_FPKM,Female10_activity,Female10_mean_FPKM,Female16_activity,Female16_mean_FPKM,Female26_activity,Female26_mean_FPKM,Male4_activity,Male4_mean_FPKM,Male10_activity,Male10_mean_FPKM,Male16_activity,Male16_mean_FPKM,Male26_activity,Male26_mean_FPKM,Skeletal_maturation_cluster,Skeletal_maturation_cluster_corr,Skeletal_maturation_cluster_corr_pval,Osteocyte_activity,Osteocyte_mean_FPKM,Osteocyte_marrow_activity,Osteocyte_marrow_mean_FPKM,LFC,LFC_CI_Upper,LFC_CI_Lower,Above_threshold,Ayturk_muscle,Ayturk_marrow,Ayturk_blood,Ayturk_contaminant,Osteocyte_transcriptome,Osteocyte_transcriptome_signature,Total_gene_universe,Osteocyte_Tau,Skeletal_GO_Term,Skeletal_MP_Term,Skeletal_annotation,IDGSW3_Day3_mean_CPM,IDGSW3_Day14_mean_CPM,IDGSW3_Day35_mean_CPM,IDGSW3_cluster,OBCD_phenotype
ENSMUSG00000028763,Hspg2,perlecan (heparan sulfate proteoglycan 2) [Source:MGI Symbol;Acc:MGI:96257],NA,protein_coding,ENSG00000142798,HSPG2,3339,8,65.755,8,54.47125,8,59.21625,12,TRUE,FALSE,TRUE,5,108.082,5,82.498,5,71.324,5,58.154,5,108.702,5,82.556,5,63.22,5,70.056,black,0.9722006,1.45E-25,5,73.048,5,8.41,3.114268,3.323037,2.905498,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.375,"GO:0001958, GO:0002062, GO:0048704, GO:0060351",TRUE,TRUE,3708,1885.67,1076.33,Early expression,FALSE
ENSMUSG00000036862,Dchs1,dachsous 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:2685011],NA,protein_coding,ENSG00000166341,DCHS1,8642,8,10.18,8,7.29875,8,9.295,11,TRUE,FALSE,FALSE,5,15.27,5,13.308,5,10.64,5,8.52,5,17.07,5,12.784,5,9.688,5,11.856,black,0.9714648,2.37E-25,5,11.662,5,1.394,3.230012,3.519996,2.940027,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.817,GO:0043931,TRUE,TRUE,242,1544,298.33,Maturation,FALSE
ENSMUSG00000037994,Slc9b2,"solute carrier family 9, subfamily B (NHA2, cation proton antiporter 2), member 2 [Source:MGI Symbol;Acc:MGI:2140077]",97086,protein_coding,ENSG00000164038,SLC9B2,133308,8,18.8075,8,20.76875,8,18.9925,6,FALSE,TRUE,TRUE,5,47.178,5,35.928,5,51.826,5,51.336,5,40.868,5,23.422,5,23.086,5,22.714,magenta,0.9683388,1.66E-24,5,22.46,5,3.098,2.841938,3.509023,2.174852,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.938,NA,FALSE,FALSE,4,9.33,1,Maturation,FALSE
ENSMUSG00000024529,Lox,lysyl oxidase [Source:MGI Symbol;Acc:MGI:96817],NA,protein_coding,ENSG00000113083,LOX,4015,8,150.8812,8,138.6675,8,128.5213,8,TRUE,TRUE,TRUE,5,336.122,5,191.902,5,119.034,5,109.428,5,334.968,5,151.08,5,86.542,5,61.622,brown,0.9669426,3.73E-24,5,107.716,5,11.286,3.224928,3.702089,2.747767,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.8,NA,FALSE,FALSE,50915,22839.67,22337.67,Early expression,FALSE
ENSMUSG00000070436,Serpinh1,"serine (or cysteine) peptidase inhibitor, clade H, member 1 [Source:MGI Symbol;Acc:MGI:88283]",NA,protein_coding,ENSG00000149257,SERPINH1,871,8,341.7425,8,318.0487,8,341.4413,12,TRUE,TRUE,TRUE,5,662.55,5,399.162,5,333.078,5,262.516,5,740.32,5,366.14,5,256.392,5,194.35,brown,0.9658647,6.79E-24,5,291.918,5,27.888,3.379182,3.798597,2.959767,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.225,GO:0003433,FALSE,TRUE,26416,25039,45162,Maturation,FALSE
ENSMUSG00000023972,Ptk7,PTK7 protein tyrosine kinase 7 [Source:MGI Symbol;Acc:MGI:1918711],71461,protein_coding,ENSG00000112655,PTK7,5754,8,10.77625,8,8.3675,8,10.01125,8,TRUE,FALSE,FALSE,5,20.452,5,16.336,5,13.994,5,11.72,5,20.704,5,16.134,5,11.076,5,12.53,black,0.964003,1.83E-23,5,12.922,5,2.14,2.591298,2.880983,2.301613,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.674,NA,FALSE,FALSE,1929.33,2201.33,1096.33,Early expression,FALSE
ENSMUSG00000001089,Luzp1,leucine zipper protein 1 [Source:MGI Symbol;Acc:MGI:107629],NA,protein_coding,ENSG00000169641,LUZP1,7798,8,21.50375,8,16.6425,8,19.3475,12,TRUE,TRUE,TRUE,5,22.814,5,21.43,5,22.05,5,19.076,5,23.48,5,21.128,5,20.792,5,19.608,black,0.963736705,2.10E-23,5,20.166,5,4.98,2.000623528,2.281661003,1.719586053,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.342,NA,FALSE,FALSE,6663.67,5784.67,5119,Maturation,FALSE
ENSMUSG00000026478,Lamc1,"laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]",226519,protein_coding,ENSG00000135862,LAMC1,3915,8,26.48875,8,21.065,8,24.72625,12,TRUE,TRUE,TRUE,5,32.006,5,29.04,5,28.188,5,24.296,5,33.284,5,29.956,5,26.708,5,31.754,black,0.9636907,2.15E-23,5,25.794,5,6.97,1.977655,2.183376,1.771934,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.23,NA,FALSE,FALSE,17582.33,10311,4621.67,Early expression,FALSE
ENSMUSG00000025213,Kazald1,Kazal-type serine peptidase inhibitor domain 1 [Source:MGI Symbol;Acc:MGI:2147606],NA,protein_coding,ENSG00000107821,KAZALD1,81621,8,45.2925,8,40.14625,8,36.50375,10,TRUE,TRUE,TRUE,5,78.104,5,50.854,5,37.526,5,32.418,5,83.388,5,38.514,5,29.194,5,18.658,brown,0.9586626,2.42E-22,5,38.844,5,2.858,3.730945,4.449267,3.012622,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.731,GO:0001503,FALSE,TRUE,135.33,75.33,627,Maturation,FALSE
ENSMUSG00000050910,Cdr2l,cerebellar degeneration-related protein 2-like [Source:MGI Symbol;Acc:MGI:2684867],237988,protein_coding,ENSG00000109089,CDR2L,30850,8,18.15,8,16.55125,8,15.27125,10,TRUE,FALSE,TRUE,5,28.862,5,17.508,5,13.942,5,13.388,5,28.722,5,16.09,5,13.138,5,10.948,brown,0.9582912,2.86E-22,5,17.252,5,2.744,2.629215,3.059702,2.198728,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,0.583,NA,FALSE,FALSE,253,491.33,827.67,Maturation,FALSE
